Date,OCCURRENCE
2023-01-09T00:06:32,1
2023-01-09T00:06:33,1
2023-01-09T02:33:36,1
2023-01-09T09:10:16,1
2023-01-09T09:10:38,1
2023-01-09T00:06:32,0
2023-01-09T00:06:33,0
2023-01-09T02:33:36,0
2023-01-09T09:10:16,0
2023-01-09T09:10:38,0
