Date,OCCURRENCE
2023-01-11T00:05:01,0
2023-01-11T00:10:01,0
2023-01-11T00:15:01,0
2023-01-11T00:20:01,0
2023-01-11T00:25:01,0
2023-01-11T00:30:01,0
2023-01-11T00:35:01,0
2023-01-11T00:40:01,0
2023-01-11T00:45:01,0
2023-01-11T00:50:01,0
2023-01-11T00:55:01,0
2023-01-11T01:00:01,0
2023-01-11T01:05:01,0
2023-01-11T01:10:01,0
2023-01-11T01:15:01,0
2023-01-11T01:20:01,0
2023-01-11T01:25:01,0
2023-01-11T01:30:01,0
2023-01-11T01:35:01,0
2023-01-11T01:40:01,0
2023-01-11T01:45:01,0
2023-01-11T01:50:01,0
2023-01-11T01:55:01,0
2023-01-11T02:00:01,0
2023-01-11T02:05:01,0
2023-01-11T02:10:01,0
2023-01-11T02:15:01,0
2023-01-11T02:20:01,0
2023-01-11T02:25:01,0
2023-01-11T02:30:01,0
2023-01-11T02:35:01,0
2023-01-11T02:40:01,0
2023-01-11T02:45:01,0
2023-01-11T02:50:01,0
2023-01-11T02:55:01,0
2023-01-11T03:00:01,0
2023-01-11T03:05:01,0
2023-01-11T03:10:01,0
2023-01-11T03:15:01,0
2023-01-11T03:20:01,0
2023-01-11T03:25:01,0
2023-01-11T03:30:01,0
2023-01-11T03:35:01,0
2023-01-11T03:40:01,0
2023-01-11T03:45:01,0
2023-01-11T03:50:01,0
2023-01-11T03:55:01,0
2023-01-11T04:00:01,0
2023-01-11T04:05:01,0
2023-01-11T04:10:01,0
2023-01-11T04:15:01,0
2023-01-11T04:20:01,0
2023-01-11T04:25:01,0
2023-01-11T04:30:01,0
2023-01-11T04:35:01,0
2023-01-11T04:40:01,0
2023-01-11T04:45:01,0
2023-01-11T04:50:01,0
2023-01-11T04:55:01,0
2023-01-11T05:00:01,0
2023-01-11T05:05:01,0
2023-01-11T05:10:01,0
2023-01-11T05:15:01,0
2023-01-11T05:20:01,0
2023-01-11T05:25:01,0
2023-01-11T05:30:01,0
2023-01-11T05:35:01,0
2023-01-11T05:40:01,0
2023-01-11T05:45:01,0
2023-01-11T05:50:01,0
2023-01-11T05:55:01,0
2023-01-11T06:00:02,0
2023-01-11T06:05:01,0
2023-01-11T06:10:01,0
2023-01-11T06:15:01,0
2023-01-11T06:20:01,0
2023-01-11T06:25:01,0
2023-01-11T06:30:01,0
2023-01-11T06:35:01,0
2023-01-11T06:40:01,0
2023-01-11T06:45:01,0
2023-01-11T06:50:01,0
2023-01-11T06:55:01,0
2023-01-11T07:00:01,0
2023-01-11T07:05:01,0
2023-01-11T07:10:01,0
2023-01-11T07:15:01,0
2023-01-11T07:20:01,0
2023-01-11T07:25:01,0
2023-01-11T07:30:01,0
2023-01-11T07:30:12,1
2023-01-11T07:30:12,1
2023-01-11T07:30:26,1
2023-01-11T07:35:01,0
2023-01-11T07:40:01,0
2023-01-11T07:45:01,0
2023-01-11T07:50:01,0
